h,k,l,I,sigma
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,4,6,1151.74,1174.87
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,4,6,3848.73,1127.49
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-12,-8,-10,1460.03,1198.57
-12,-2,-2,477399.97,7669.09
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-11,-3,-3,36934.45,2467.73
-11,5,7,2623.85,1059.24
-11,7,9,1913.82,980.57
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-9,-11,-15,599.33,1001.74
-9,-7,-9,7204.85,1173.47
-9,5,7,7110.5,1054.67
-9,7,9,2093.21,983.35
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-7,-11,-15,585.21,964.23
-7,-7,-9,2321.6,1088.91
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,6,8,8028.0,986.2
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,7,9,3021.5,948.91
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-4,-12,-16,1268.09,934.15
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,-10,-14,370.04,928.46
-2,-6,-8,17891.33,1077.68
-2,8,10,4945.92,926.88
-2,10,12,2421.42,942.54
-2,12,14,845.71,897.92
-2,14,16,-455.24,891.88
-1,-11,-15,436.46,890.31
-1,9,11,919.91,940.27
-1,11,13,1548.29,939.9
-1,13,15,800.12,897.04
0,-10,-14,231.58,890.04
0,-6,-8,6587.5,975.1
0,10,12,986.4,898.57
0,12,14,702.11,896.08
0,14,16,574.21,897.26
1,11,13,348.25,893.71
1,13,15,-139.93,896.57
2,-10,-14,874.88,929.52
2,12,14,676.59,934.2
2,14,16,613.36,897.3
3,-9,-13,861.41,890.9
3,-5,-7,10268.83,995.94
3,13,15,508.66,934.81
4,-10,-14,1283.47,896.75
4,2,2,318386.25,2713.46
4,14,16,706.18,932.41
5,-9,-13,241.34,888.9
5,3,3,133717.22,1993.67
6,-8,-12,-28.77,934.01
6,-4,-6,36141.28,1211.49
6,4,4,38757.04,1535.32
7,-9,-13,504.16,890.04
7,-3,-5,14128.47,1160.57
8,-8,-12,1882.23,896.06
8,4,4,73419.3,1796.77
9,-7,-11,780.98,932.36
9,5,5,14343.19,1483.03
9,7,7,2056.16,1247.53
10,-10,-16,852.89,923.69
10,-2,-4,35131.59,1364.73
10,6,6,2899.13,1356.88
10,8,8,319.75,1173.53
11,-7,-11,1387.99,975.99
11,-1,-3,11350.94,1422.73
11,7,7,2995.91,1300.3
11,9,9,2438.85,1175.21
12,-6,-10,1849.71,1014.45
12,0,-2,2538.69,1603.37
12,8,8,1002.38,1267.65
12,10,10,2368.08,1146.22
12,12,12,1009.44,1073.93
13,-5,-9,3033.39,1018.79
13,1,-1,19044.36,1982.47
13,9,9,1491.09,1234.61
13,11,11,1131.84,1137.65
14,-4,-8,1304.12,1076.16
14,10,10,686.1,1199.61
15,-5,-9,1328.2,1042.62
15,1,-1,6245.19,1953.07
15,11,11,675.71,1201.0
16,-4,-8,3606.04,1122.28
16,2,0,3086.76,2470.41
17,-3,-7,1412.49,1171.29
17,3,1,10502.31,3840.26
17,5,3,4799.13,2834.08
18,-2,-6,1000.05,1260.2
18,4,2,24553.88,6269.8
18,6,4,4981.15,2303.99
19,-1,-5,285.01,1338.35
19,5,3,7799.51,3643.22
19,7,5,2396.62,2010.2
20,0,-4,1669.41,1472.31
20,6,4,5491.26,2644.37
21,-1,-5,692.7,1369.32
21,1,-3,2260.67,1652.89
-21,-3,-3,24483.75,6407.01
-20,-2,-2,8151.02,3221.31
-19,-3,-3,24981.37,6528.84
-19,5,7,420.89,1144.91
-18,-2,-2,12090.84,3583.13
-18,4,6,543.09,1198.31
-18,6,8,724.44,1103.95
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,4,6,1151.74,1174.87
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-9,-11,559.91,1226.13
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-12,-8,-10,1460.03,1198.57
-12,-2,-2,477399.97,7669.09
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-11,-3,-3,36934.45,2467.73
-11,5,7,2623.85,1059.24
-11,7,9,1913.82,980.57
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-9,5,7,7110.5,1054.67
-9,7,9,2093.21,983.35
-9,9,11,78.51,934.8
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-7,-11,-15,585.21,964.23
-7,-7,-9,2321.6,1088.91
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,6,8,8028.0,986.2
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,7,9,3021.5,948.91
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-4,-12,-16,1268.09,934.15
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-4,14,16,306.88,890.36
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,-6,-8,17891.33,1077.68
-2,8,10,4945.92,926.88
-2,10,12,2421.42,942.54
-2,12,14,845.71,897.92
-2,14,16,-455.24,891.88
-1,-11,-15,436.46,890.31
-1,-7,-9,3583.51,989.66
-1,9,11,919.91,940.27
-1,11,13,1548.29,939.9
-1,13,15,800.12,897.04
0,-10,-14,231.58,890.04
0,-6,-8,6587.5,975.1
0,10,12,986.4,898.57
0,12,14,702.11,896.08
0,14,16,574.21,897.26
1,-11,-15,786.25,889.57
1,11,13,348.25,893.71
1,13,15,-139.93,896.57
2,-10,-14,874.88,929.52
2,-6,-8,20310.36,1058.88
2,12,14,676.59,934.2
2,14,16,613.36,897.3
3,-9,-13,861.41,890.9
3,-5,-7,10268.83,995.94
3,13,15,508.66,934.81
4,-10,-14,1283.47,896.75
4,2,2,318386.25,2713.46
4,14,16,706.18,932.41
5,-9,-13,241.34,888.9
5,3,3,133717.22,1993.67
6,-8,-12,-28.77,934.01
6,-4,-6,36141.28,1211.49
6,4,4,38757.04,1535.32
7,-9,-13,504.16,890.04
7,-3,-5,14128.47,1160.57
7,5,5,32894.23,1448.5
8,-8,-12,1882.23,896.06
8,4,4,73419.3,1796.77
8,6,6,23694.87,1353.54
9,-7,-11,780.98,932.36
9,-3,-5,13252.56,1184.68
9,5,5,14343.19,1483.03
9,7,7,2056.16,1247.53
10,-2,-4,35131.59,1364.73
10,6,6,2899.13,1356.88
10,8,8,319.75,1173.53
11,-7,-11,1387.99,975.99
11,-1,-3,11350.94,1422.73
11,7,7,2995.91,1300.3
11,9,9,2438.85,1175.21
12,-6,-10,1849.71,1014.45
12,0,-2,2538.69,1603.37
12,8,8,1002.38,1267.65
12,10,10,2368.08,1146.22
12,12,12,1009.44,1073.93
13,-5,-9,3033.39,1018.79
13,1,-1,19044.36,1982.47
13,9,9,1491.09,1234.61
13,11,11,1131.84,1137.65
14,10,10,686.1,1199.61
15,-5,-9,1328.2,1042.62
15,1,-1,6245.19,1953.07
16,-4,-8,3606.04,1122.28
16,2,0,3086.76,2470.41
17,-3,-7,1412.49,1171.29
17,3,1,10502.31,3840.26
17,5,3,4799.13,2834.08
18,-2,-6,1000.05,1260.2
18,4,2,24553.88,6269.8
18,6,4,4981.15,2303.99
19,-1,-5,285.01,1338.35
19,5,3,7799.51,3643.22
19,7,5,2396.62,2010.2
20,-2,-6,1148.69,1290.61
20,0,-4,1669.41,1472.31
20,6,4,5491.26,2644.37
21,-1,-5,692.7,1369.32
21,1,-3,2260.67,1652.89
-21,-3,-3,24483.75,6407.01
-20,-2,-2,8151.02,3221.31
-19,-3,-3,24981.37,6528.84
-19,5,7,420.89,1144.91
-18,-2,-2,12090.84,3583.13
-18,6,8,724.44,1103.95
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-9,-11,559.91,1226.13
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-15,9,11,-64.97,970.29
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-13,-9,-11,768.49,1167.26
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-12,-8,-10,1460.03,1198.57
-12,-2,-2,477399.97,7669.09
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-11,-3,-3,36934.45,2467.73
-11,5,7,2623.85,1059.24
-11,7,9,1913.82,980.57
-11,9,11,1215.18,933.04
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-9,-3,-3,105210.62,2301.01
-9,7,9,2093.21,983.35
-9,9,11,78.51,934.8
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-8,10,12,1054.34,937.54
-7,-11,-15,585.21,964.23
-7,-7,-9,2321.6,1088.91
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-7,11,13,814.56,937.09
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-6,12,14,340.94,894.34
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,7,9,3021.5,948.91
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-5,13,15,16.55,890.76
-4,-12,-16,1268.09,934.15
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-4,14,16,306.88,890.36
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,10,12,2421.42,942.54
-2,12,14,845.71,897.92
-2,14,16,-455.24,891.88
-1,-11,-15,436.46,890.31
-1,-7,-9,3583.51,989.66
-1,9,11,919.91,940.27
-1,11,13,1548.29,939.9
-1,13,15,800.12,897.04
0,-10,-14,231.58,890.04
0,-6,-8,6587.5,975.1
0,10,12,986.4,898.57
0,12,14,702.11,896.08
0,14,16,574.21,897.26
1,-11,-15,786.25,889.57
1,11,13,348.25,893.71
1,13,15,-139.93,896.57
2,-10,-14,874.88,929.52
2,-6,-8,20310.36,1058.88
2,12,14,676.59,934.2
2,14,16,613.36,897.3
3,-9,-13,861.41,890.9
3,-5,-7,10268.83,995.94
3,13,15,508.66,934.81
4,-10,-14,1283.47,896.75
4,2,2,318386.25,2713.46
5,-9,-13,241.34,888.9
5,3,3,133717.22,1993.67
6,-8,-12,-28.77,934.01
6,-4,-6,36141.28,1211.49
6,4,4,38757.04,1535.32
7,-9,-13,504.16,890.04
7,-3,-5,14128.47,1160.57
7,5,5,32894.23,1448.5
8,-8,-12,1882.23,896.06
8,4,4,73419.3,1796.77
8,6,6,23694.87,1353.54
9,-7,-11,780.98,932.36
9,-3,-5,13252.56,1184.68
9,5,5,14343.19,1483.03
9,7,7,2056.16,1247.53
10,-8,-12,232.83,928.9
10,-2,-4,35131.59,1364.73
10,6,6,2899.13,1356.88
10,8,8,319.75,1173.53
11,-7,-11,1387.99,975.99
11,-1,-3,11350.94,1422.73
11,7,7,2995.91,1300.3
11,9,9,2438.85,1175.21
11,11,11,1294.73,1076.52
12,-6,-10,1849.71,1014.45
12,0,-2,2538.69,1603.37
12,8,8,1002.38,1267.65
12,10,10,2368.08,1146.22
12,12,12,1009.44,1073.93
13,-5,-9,3033.39,1018.79
13,1,-1,19044.36,1982.47
13,9,9,1491.09,1234.61
13,11,11,1131.84,1137.65
14,-6,-10,1134.25,1006.09
14,10,10,686.1,1199.61
15,-5,-9,1328.2,1042.62
15,1,-1,6245.19,1953.07
16,-4,-8,3606.04,1122.28
16,2,0,3086.76,2470.41
17,-3,-7,1412.49,1171.29
17,3,1,10502.31,3840.26
17,5,3,4799.13,2834.08
18,-2,-6,1000.05,1260.2
18,4,2,24553.88,6269.8
18,6,4,4981.15,2303.99
19,-1,-5,285.01,1338.35
19,5,3,7799.51,3643.22
19,7,5,2396.62,2010.2
20,-2,-6,1148.69,1290.61
20,0,-4,1669.41,1472.31
20,6,4,5491.26,2644.37
21,-1,-5,692.7,1369.32
21,1,-3,2260.67,1652.89
-21,-3,-3,24483.75,6407.01
-20,-2,-2,8151.02,3221.31
-19,-3,-3,24981.37,6528.84
-19,5,7,420.89,1144.91
-18,-2,-2,12090.84,3583.13
-18,6,8,724.44,1103.95
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-9,-11,559.91,1226.13
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-15,9,11,-64.97,970.29
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-13,-9,-11,768.49,1167.26
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-13,9,11,-4.75,931.96
-12,-8,-10,1460.03,1198.57
-12,-2,-2,477399.97,7669.09
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-11,-9,-11,1670.08,1139.47
-11,-3,-3,36934.45,2467.73
-11,5,7,2623.85,1059.24
-11,7,9,1913.82,980.57
-11,9,11,1215.18,933.04
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-10,10,12,1105.13,934.11
-9,-3,-3,105210.62,2301.01
-9,7,9,2093.21,983.35
-9,9,11,78.51,934.8
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-8,10,12,1054.34,937.54
-7,-7,-9,2321.6,1088.91
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-7,11,13,814.56,937.09
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-6,12,14,340.94,894.34
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,7,9,3021.5,948.91
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-5,13,15,16.55,890.76
-4,-12,-16,1268.09,934.15
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-4,14,16,306.88,890.36
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,-12,-16,347.17,929.57
-2,10,12,2421.42,942.54
-2,12,14,845.71,897.92
-2,14,16,-455.24,891.88
-1,-11,-15,436.46,890.31
-1,-7,-9,3583.51,989.66
-1,9,11,919.91,940.27
-1,11,13,1548.29,939.9
-1,13,15,800.12,897.04
0,-10,-14,231.58,890.04
0,-6,-8,6587.5,975.1
0,10,12,986.4,898.57
0,12,14,702.11,896.08
0,14,16,574.21,897.26
1,-11,-15,786.25,889.57
1,11,13,348.25,893.71
1,13,15,-139.93,896.57
2,-10,-14,874.88,929.52
2,-6,-8,20310.36,1058.88
2,12,14,676.59,934.2
2,14,16,613.36,897.3
3,-5,-7,10268.83,995.94
4,-10,-14,1283.47,896.75
4,2,2,318386.25,2713.46
5,-9,-13,241.34,888.9
5,-5,-7,21933.68,1067.63
5,3,3,133717.22,1993.67
6,-4,-6,36141.28,1211.49
6,4,4,38757.04,1535.32
7,-9,-13,504.16,890.04
7,-3,-5,14128.47,1160.57
7,5,5,32894.23,1448.5
8,-8,-12,1882.23,896.06
8,4,4,73419.3,1796.77
8,6,6,23694.87,1353.54
9,-7,-11,780.98,932.36
9,-3,-5,13252.56,1184.68
9,5,5,14343.19,1483.03
9,7,7,2056.16,1247.53
10,-8,-12,232.83,928.9
10,-2,-4,35131.59,1364.73
10,6,6,2899.13,1356.88
10,8,8,319.75,1173.53
11,-7,-11,1387.99,975.99
11,-1,-3,11350.94,1422.73
11,7,7,2995.91,1300.3
11,9,9,2438.85,1175.21
11,11,11,1294.73,1076.52
12,-6,-10,1849.71,1014.45
12,0,-2,2538.69,1603.37
12,8,8,1002.38,1267.65
12,10,10,2368.08,1146.22
12,12,12,1009.44,1073.93
13,-5,-9,3033.39,1018.79
13,1,-1,19044.36,1982.47
13,9,9,1491.09,1234.61
13,11,11,1131.84,1137.65
14,-6,-10,1134.25,1006.09
14,0,-2,16620.74,1672.17
15,-5,-9,1328.2,1042.62
15,1,-1,6245.19,1953.07
16,-4,-8,3606.04,1122.28
16,2,0,3086.76,2470.41
17,-3,-7,1412.49,1171.29
17,3,1,10502.31,3840.26
17,5,3,4799.13,2834.08
18,-2,-6,1000.05,1260.2
18,4,2,24553.88,6269.8
18,6,4,4981.15,2303.99
19,-1,-5,285.01,1338.35
19,5,3,7799.51,3643.22
19,7,5,2396.62,2010.2
20,-2,-6,1148.69,1290.61
20,0,-4,1669.41,1472.31
20,6,4,5491.26,2644.37
21,-1,-5,692.7,1369.32
21,1,-3,2260.67,1652.89
-21,-3,-3,24483.75,6407.01
-21,-1,-1,3182.57,2287.42
-20,-2,-2,8151.02,3221.31
-19,-3,-3,24981.37,6528.84
-19,5,7,420.89,1144.91
-18,-2,-2,12090.84,3583.13
-18,6,8,724.44,1103.95
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-9,-11,559.91,1226.13
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-15,9,11,-64.97,970.29
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-14,10,12,416.73,969.68
-13,-9,-11,768.49,1167.26
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-13,9,11,-4.75,931.96
-12,-8,-10,1460.03,1198.57
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-12,10,12,636.66,934.01
-11,-9,-11,1670.08,1139.47
-11,-3,-3,36934.45,2467.73
-11,5,7,2623.85,1059.24
-11,7,9,1913.82,980.57
-11,9,11,1215.18,933.04
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-10,10,12,1105.13,934.11
-9,-3,-3,105210.62,2301.01
-9,7,9,2093.21,983.35
-9,9,11,78.51,934.8
-9,11,13,144.83,897.36
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-8,10,12,1054.34,937.54
-8,12,14,-69.0,894.37
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-7,11,13,814.56,937.09
-7,13,15,707.68,897.43
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-6,12,14,340.94,894.34
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,7,9,3021.5,948.91
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-5,13,15,16.55,890.76
-4,-12,-16,1268.09,934.15
-4,-8,-10,457.42,969.93
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-4,14,16,306.88,890.36
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,-12,-16,347.17,929.57
-2,10,12,2421.42,942.54
-2,12,14,845.71,897.92
-2,14,16,-455.24,891.88
-1,-11,-15,436.46,890.31
-1,-7,-9,3583.51,989.66
-1,11,13,1548.29,939.9
-1,13,15,800.12,897.04
0,-10,-14,231.58,890.04
0,-6,-8,6587.5,975.1
0,12,14,702.11,896.08
0,14,16,574.21,897.26
1,-11,-15,786.25,889.57
1,13,15,-139.93,896.57
2,-10,-14,874.88,929.52
2,-6,-8,20310.36,1058.88
2,14,16,613.36,897.3
3,-5,-7,10268.83,995.94
4,-10,-14,1283.47,896.75
4,2,2,318386.25,2713.46
5,-9,-13,241.34,888.9
5,-5,-7,21933.68,1067.63
5,3,3,133717.22,1993.67
6,-4,-6,36141.28,1211.49
6,4,4,38757.04,1535.32
7,-9,-13,504.16,890.04
7,-3,-5,14128.47,1160.57
7,5,5,32894.23,1448.5
8,-8,-12,1882.23,896.06
8,4,4,73419.3,1796.77
8,6,6,23694.87,1353.54
9,-7,-11,780.98,932.36
9,-3,-5,13252.56,1184.68
9,5,5,14343.19,1483.03
9,7,7,2056.16,1247.53
10,-8,-12,232.83,928.9
10,-2,-4,35131.59,1364.73
10,6,6,2899.13,1356.88
10,8,8,319.75,1173.53
11,-7,-11,1387.99,975.99
11,-1,-3,11350.94,1422.73
11,7,7,2995.91,1300.3
11,9,9,2438.85,1175.21
11,11,11,1294.73,1076.52
12,-6,-10,1849.71,1014.45
12,0,-2,2538.69,1603.37
12,8,8,1002.38,1267.65
12,10,10,2368.08,1146.22
12,12,12,1009.44,1073.93
13,-5,-9,3033.39,1018.79
13,1,-1,19044.36,1982.47
13,9,9,1491.09,1234.61
13,11,11,1131.84,1137.65
14,-6,-10,1134.25,1006.09
14,0,-2,16620.74,1672.17
15,-5,-9,1328.2,1042.62
15,1,-1,6245.19,1953.07
16,-4,-8,3606.04,1122.28
16,2,0,3086.76,2470.41
17,-3,-7,1412.49,1171.29
17,3,1,10502.31,3840.26
17,5,3,4799.13,2834.08
18,-2,-6,1000.05,1260.2
18,4,2,24553.88,6269.8
18,6,4,4981.15,2303.99
19,-3,-7,813.1,1203.78
19,-1,-5,285.01,1338.35
19,5,3,7799.51,3643.22
19,7,5,2396.62,2010.2
20,-2,-6,1148.69,1290.61
20,0,-4,1669.41,1472.31
20,6,4,5491.26,2644.37
21,-1,-5,692.7,1369.32
21,1,-3,2260.67,1652.89
-21,-3,-3,24483.75,6407.01
-21,-1,-1,3182.57,2287.42
-20,-2,-2,8151.02,3221.31
-19,-3,-3,24981.37,6528.84
-19,5,7,420.89,1144.91
-18,-2,-2,12090.84,3583.13
-18,6,8,724.44,1103.95
-17,-3,-3,117392.69,8055.42
-17,5,7,1359.42,1140.42
-17,7,9,1206.68,1040.44
-16,-8,-10,411.21,1310.35
-16,-2,-2,28778.29,4199.52
-16,6,8,559.94,1075.59
-16,8,10,1568.5,1010.33
-15,-9,-11,559.91,1226.13
-15,-3,-3,17665.73,3753.92
-15,5,7,1708.04,1113.74
-15,7,9,1154.04,1009.74
-15,9,11,-64.97,970.29
-14,-8,-10,2191.8,1260.34
-14,-2,-2,71564.88,6899.66
-14,6,8,1407.99,1045.01
-14,8,10,565.62,1008.83
-14,10,12,416.73,969.68
-13,-9,-11,768.49,1167.26
-13,-3,-3,31516.64,2954.35
-13,5,7,823.45,1077.72
-13,7,9,1043.51,1008.02
-13,9,11,-4.75,931.96
-13,11,13,597.55,933.35
-12,-8,-10,1460.03,1198.57
-12,6,8,89.57,1008.55
-12,8,10,706.69,972.32
-12,10,12,636.66,934.01
-11,-9,-11,1670.08,1139.47
-11,-3,-3,36934.45,2467.73
-11,7,9,1913.82,980.57
-11,9,11,1215.18,933.04
-11,11,13,1064.32,936.76
-10,-8,-10,2178.16,1148.86
-10,-2,-2,14776.01,3728.45
-10,6,8,2605.02,1018.24
-10,8,10,1715.22,981.75
-10,10,12,1105.13,934.11
-10,12,14,489.99,930.95
-9,-3,-3,105210.62,2301.01
-9,7,9,2093.21,983.35
-9,9,11,78.51,934.8
-9,11,13,144.83,897.36
-8,-12,-16,456.06,966.71
-8,-8,-10,562.83,1039.24
-8,-2,-2,359742.06,3461.31
-8,6,8,1537.78,981.09
-8,8,10,386.03,932.54
-8,10,12,1054.34,937.54
-8,12,14,-69.0,894.37
-7,7,9,2964.69,949.41
-7,9,11,1171.61,939.68
-7,11,13,814.56,937.09
-7,13,15,707.68,897.43
-6,-12,-16,-212.72,929.23
-6,-8,-10,10271.07,1059.82
-6,-2,-2,32559.74,2241.78
-6,8,10,2220.21,954.09
-6,10,12,1513.93,900.38
-6,12,14,340.94,894.34
-5,-11,-15,100.87,962.42
-5,-7,-9,2865.84,1057.62
-5,9,11,2419.55,943.16
-5,11,13,854.6,898.6
-5,13,15,16.55,890.76
-4,-12,-16,1268.09,934.15
-4,-8,-10,457.42,969.93
-4,8,10,-102.16,938.56
-4,10,12,1139.56,900.24
-4,12,14,898.33,897.04
-4,14,16,306.88,890.36
-3,-11,-15,382.95,929.09
-3,-7,-9,9594.52,1019.69
-3,-1,-1,1093329.5,4556.9
-3,9,11,833.03,900.89
-3,11,13,1074.24,903.08
-3,13,15,334.67,894.6
-2,-12,-16,347.17,929.57
