h,k,l,I,sigma,intensity,frame,gx,gy,gz,g_norm
-20,-2,-2,8151.02,3221.31,,,-3.7106600000000007,-0.29368,0.1549,3.7254851480042173
-20,2,4,1033.87,1365.21,,,-3.4371600000000004,-1.56942,-0.10294000000000003,3.779913311916029
-19,-3,-3,24981.37,6528.84,,,-3.5876400000000004,0.0010200000000000486,0.14655,3.590632077016525
-19,3,5,535.74,1288.02,,,-3.20048,-1.78384,-0.11018999999999998,3.66569218730924
-18,-6,-8,2772.24,1633.9,,,-3.6244600000000005,1.06234,0.39714000000000005,3.7977620708517277
-18,-2,-2,12090.84,3583.13,,,-3.3509600000000006,-0.21340000000000003,0.1393,3.360636393839715
-18,2,4,3066.94,1349.39,,,-3.0774600000000003,-1.48914,-0.11853999999999998,3.4208697319249093
-17,-7,-9,2228.67,1444.5,,,-3.50144,1.35704,0.3887900000000001,3.7752877107976817
-17,-3,-3,117392.69,8055.42,,,-3.2279400000000003,0.08130000000000007,0.13095000000000004,3.2316178976017573
-17,7,11,1183.67,1042.92,,,-2.5672800000000002,-2.9793000000000003,-0.38363,3.9514968132721555
-16,-6,-8,881.89,1514.09,,,-3.2647600000000003,1.14262,0.38154,3.4799153859828262
-16,2,4,959.68,1315.54,,,-2.71776,-1.4088600000000002,-0.13414000000000004,3.0641637451024057
-16,8,12,948.86,1010.21,,,-2.3306000000000004,-3.19372,-0.39088,3.9729499081664748
-15,-7,-9,1413.9,1367.83,,,-3.14174,1.43732,0.37319,3.4750093217285043
-15,-3,-3,17665.73,3753.92,,,-2.86824,0.16157999999999995,0.11534999999999998,2.8751025053900254
-14,-6,-8,2319.16,1402.27,,,-2.90506,1.2229,0.36594000000000004,3.1731325369735193
-14,2,4,9630.14,1331.14,,,-2.35806,-1.32858,-0.14973999999999998,2.710718326864671
-14,8,12,677.03,970.41,,,-1.9709,-3.11344,-0.40648000000000006,3.707179714284162
-13,-9,-13,425.77,1107.38,,,-2.94188,2.28422,0.6165300000000001,3.775238824723543
-13,-3,-3,31516.64,2954.35,,,-2.50854,0.24185999999999996,0.09975000000000003,2.522145763769414
-13,3,5,6604.6,1197.78,,,-2.12138,-1.5430000000000001,-0.15699000000000005,2.627878985893376
-13,9,13,621.92,933.05,,,-1.73422,-3.3278600000000003,-0.41373000000000004,3.7753600756616583
-12,-10,-14,630.28,1070.39,,,-2.81886,2.57892,0.6081799999999999,3.868679746166643
-12,-6,-8,1121.93,1315.2,,,-2.54536,1.30318,0.35034,2.880950148405904
-12,-2,-2,477399.97,7669.09,,,-2.27186,0.02744000000000002,0.0925,2.273907883622378
-12,2,4,391.13,1262.99,,,-1.9983599999999997,-1.2483,-0.16534000000000004,2.361997649279101
-12,8,12,1123.88,937.75,,,-1.6112,-3.03316,-0.4220800000000001,3.460372314072577
-12,10,14,757.69,933.25,,,-1.4975399999999999,-3.5422800000000003,-0.42097999999999997,3.868797980044965
-11,-9,-13,1159.72,1076.53,,,-2.58218,2.3645,0.6009300000000001,3.552411950675203
-11,3,5,14067.69,1214.99,,,-1.76168,-1.46272,-0.17259,2.2962694808972226
-11,9,13,22.1,933.17,,,-1.37452,-3.24758,-0.4293300000000001,3.5525209831470383
-11,11,15,607.13,893.51,,,-1.26086,-3.7567,-0.4282300000000001,3.985717471484902
-10,-6,-8,10048.89,1277.56,,,-2.1856600000000004,1.38346,0.33474000000000004,2.608279523900765
-10,-2,-2,14776.01,3728.45,,,-1.91216,0.10771999999999998,0.07690000000000002,1.9167350035933501
-10,2,4,25752.95,1356.91,,,-1.6386600000000002,-1.16802,-0.18094,2.0204496033309023
-10,8,12,1263.0,936.73,,,-1.2515000000000003,-2.95288,-0.43767999999999996,3.2368682899988377
-10,10,14,1137.61,896.54,,,-1.1378400000000002,-3.462,-0.43658,3.670248760234107
-9,-9,-13,948.06,1041.24,,,-2.22248,2.44478,0.58533,3.355440031903416
-9,3,5,18209.56,1207.46,,,-1.40198,-1.3824400000000001,-0.18819,1.977903877871723
-9,9,13,1266.0,939.01,,,-1.01482,-3.1673,-0.44493000000000016,3.3555344771436935
-9,11,15,529.13,932.75,,,-0.9011600000000002,-3.6764200000000002,-0.44382999999999995,3.8111859612068266
-8,-6,-8,271.11,1145.28,,,-1.82596,1.46374,0.31914,2.3618880263043804
-8,-2,-2,359742.06,3461.31,,,-1.55246,0.188,0.06130000000000002,1.5650027928409584
-8,10,14,499.54,894.46,,,-0.7781400000000002,-3.38172,-0.4521800000000001,3.499428349087891
-8,12,16,345.08,895.45,,,-0.6644800000000002,-3.89084,-0.45108000000000015,3.972863292689543
-7,-11,-17,1381.33,930.06,,,-2.02262,3.29168,0.82867,3.9513090053424067
-7,-9,-13,1041.0,1006.45,,,-1.86278,2.52506,0.56973,3.1891173708253513
-7,3,5,35122.41,1262.21,,,-1.0422799999999999,-1.30216,-0.20379,1.6803269408362171
-7,9,13,657.0,934.26,,,-0.6551199999999999,-3.08702,-0.46053,3.189194659424225
-7,11,15,71.67,895.73,,,-0.54146,-3.59614,-0.45943,3.665580139091219
-6,4,6,30212.66,1185.1,,,-0.8056,-1.51658,-0.21104000000000006,1.7301861570362884
-6,10,14,396.29,895.0,,,-0.4184399999999999,-3.3014400000000004,-0.46778000000000014,3.3605678442191884
-6,12,16,290.88,890.79,,,-0.30477999999999994,-3.81056,-0.46668,3.851110045740059
-5,-11,-17,685.61,933.77,,,-1.6629200000000002,3.37196,0.81307,3.8466218936750205
-5,-9,-13,1877.68,977.18,,,-1.5030800000000002,2.60534,0.5541300000000001,3.058448309012268
-5,-5,-7,27154.68,1249.33,,,-1.2295800000000001,1.3296000000000001,0.29628999999999994,1.83507245102203
-5,11,15,803.08,892.29,,,-0.1817600000000001,-3.51586,-0.47503000000000006,3.552458548399967
-4,-8,-12,3596.25,987.77,,,-1.2664,2.39092,0.5468799999999999,2.760316130590842
-4,4,6,2432.86,1032.12,,,-0.4459000000000001,-1.4363000000000001,-0.22664,1.5209043985734279
-4,10,14,862.71,900.64,,,-0.05874000000000007,-3.2211600000000002,-0.48338,3.257756644932215
-4,12,16,243.27,894.49,,,0.05491999999999997,-3.73028,-0.48228000000000004,3.761728204323114
-3,-11,-17,683.94,933.68,,,-1.30322,3.45224,0.7974700000000001,3.7752220844474835
-3,-5,-7,28913.47,1202.82,,,-0.86988,1.40988,0.28069,1.6802498935872605
-3,-1,-1,1093329.5,4556.9,,,-0.5963799999999999,0.13414,0.02285000000000001,0.6117064381711214
-3,11,15,908.56,934.35,,,0.17794000000000001,-3.43558,-0.4906300000000001,3.474995018255422
-3,13,17,316.04,895.97,,,0.29159999999999997,-3.9447,-0.48953,3.985640258590833
-2,-8,-12,-159.31,926.46,,,-0.9067000000000001,2.4712,0.5312800000000001,2.6853664123169487
-2,12,16,402.67,894.09,,,0.41462,-3.6500000000000004,-0.4978800000000001,3.7070600533036964
-1,-11,-17,1362.33,933.32,,,-0.9435199999999999,3.5325200000000003,0.7818700000000001,3.7390170148984345
-1,5,7,33854.75,1162.13,,,0.15047999999999997,-1.57044,-0.24949000000000002,1.59723864344061
-1,13,17,1418.88,893.48,,,0.6513,-3.86442,-0.5051300000000001,3.9513402717685553
0,-10,-16,966.45,891.09,,,-0.7068399999999999,3.3181000000000003,0.7746200000000001,3.4798630059242277
0,-8,-12,4034.67,951.13,,,-0.5469999999999999,2.55148,0.51568,2.6599220012624434
0,-4,-6,2427.51,996.65,,,-0.27349999999999997,1.27574,0.25784,1.3299610006312217
0,6,8,1652.21,989.73,,,0.38716,-1.7848600000000001,-0.25673999999999997,1.8443246766228554
0,12,16,859.14,897.98,,,0.77432,-3.5697200000000002,-0.5134799999999999,3.6886493532457107
1,-7,-11,1743.86,942.9,,,-0.31032,2.33706,0.50843,2.411773001528129
1,13,17,401.66,892.11,,,1.011,-3.7841400000000003,-0.5207300000000001,3.9513284187093336
2,-10,-16,873.53,889.38,,,-0.34713999999999995,3.3983800000000004,0.75902,3.499371967139247
2,6,8,27200.21,1136.8,,,0.74686,-1.70458,-0.27234,1.880840745943154
3,-9,-15,784.36,927.24,,,-0.11046,3.18396,0.75177,3.273371476948499
3,-7,-11,2327.64,908.04,,,0.04937999999999998,2.4173400000000003,0.49283,2.4675600233631605
3,-3,-5,73592.7,1400.28,,,0.32288,1.1416,0.23499,1.2094305910220726
3,1,1,932383.5,4332.12,,,0.5963799999999999,-0.13414,-0.02285000000000001,0.6117064381711214
3,7,9,10079.27,1033.73,,,0.9835399999999999,-1.919,-0.27959,2.174415438617929
4,-10,-16,902.64,889.09,,,0.012560000000000071,3.47866,0.74342,3.5572329760081782
4,-6,-10,16306.19,994.84,,,0.2860600000000001,2.20292,0.48558000000000007,2.273867803193493
4,8,10,754.61,1011.34,,,1.2202199999999999,-2.13342,-0.28683999999999993,2.474407995945697
5,-9,-15,221.42,890.84,,,0.24924000000000007,3.26424,0.73617,3.3554924562722537
5,9,11,2098.35,1018.67,,,1.4569,-2.34784,-0.2940900000000001,2.7787405786974793
6,-6,-10,2309.99,943.89,,,0.64576,2.2832,0.46998,2.4188611820441452
6,-2,-4,93176.17,1554.71,,,0.91926,1.00746,0.21214,1.3802238872009136
6,8,10,5093.01,1033.78,,,1.57992,-2.05314,-0.30244,2.6082563178491487
6,10,12,1208.51,973.15,,,1.6935799999999999,-2.56226,-0.30134000000000005,3.086129504670859
7,-9,-15,-135.83,887.95,,,0.60894,3.34452,0.7205699999999999,3.475031378117326
7,-5,-9,13968.32,1012.24,,,0.8824399999999999,2.06878,0.4627300000000001,2.296229538809219
7,3,3,115327.95,2070.82,,,1.42944,-0.4827,-0.052950000000000025,1.509669402915751
7,9,11,1941.8,1048.05,,,1.8166,-2.26756,-0.3096899999999999,2.9219465788580052
7,11,13,672.73,1007.16,,,1.93026,-2.77668,-0.30859000000000003,3.3957448782410022
8,-8,-14,2.24,887.41,,,0.8456200000000001,3.1301,0.71332,3.3198531016898922
8,10,12,1320.54,1039.85,,,2.05328,-2.48198,-0.3169400000000001,3.2367629574004955
8,12,14,280.05,1004.3,,,2.16694,-2.9911000000000003,-0.31583999999999995,3.7070288748807987
9,-5,-9,3658.84,990.96,,,1.24214,2.14906,0.44713,2.522160958404519
9,-1,-3,35618.88,1485.26,,,1.51564,0.87332,0.18928999999999999,1.7594553521189449
9,11,13,706.02,1004.86,,,2.28996,-2.6964,-0.3241900000000001,3.552406074437437
10,-8,-14,430.38,925.75,,,1.2053200000000004,3.2103800000000002,0.6977199999999999,3.499449848933401
10,-4,-8,307.98,1045.63,,,1.4788200000000002,1.9346400000000001,0.43988000000000005,2.474517111761404
10,0,-2,33516.23,1688.0,,,1.75232,0.6589,0.18203999999999998,1.8809341174001817
10,4,4,13811.93,1775.81,,,2.0258200000000004,-0.61684,-0.07580000000000003,2.1190054030134045
10,12,14,396.65,1038.52,,,2.52664,-2.91082,-0.33144,3.868673575736263
11,-7,-13,1146.86,931.27,,,1.442,2.99596,0.69047,3.3958635341397336
11,5,5,14769.62,1629.19,,,2.2625,-0.83126,-0.08305000000000004,2.4118036280136907
12,-4,-8,3897.59,1063.3,,,1.83852,2.01492,0.42428,2.760447774401827
12,6,6,6893.21,1481.03,,,2.49918,-1.04568,-0.09029999999999999,2.7106274965033466
13,-7,-13,1087.2,968.41,,,1.8016999999999999,3.07624,0.67487,3.6283363880020825
13,-3,-7,2616.22,1119.74,,,2.0751999999999997,1.8005000000000002,0.41703,2.778879146508534
13,1,-1,19044.36,1982.47,,,2.3487,0.5247600000000001,0.15919,2.411867783212836
13,7,7,2494.57,1378.11,,,2.73586,-1.2601,-0.09755000000000005,3.0136851116365824
