rotation_angle_deg,delta_alpha_deg,beta_deg
-21.455000,0.938927,-0.938234
-21.352000,0.934824,-0.934135
-21.249000,0.930721,-0.930036
-21.147000,0.926618,-0.925937
-21.044000,0.922515,-0.921838
-20.941000,0.918411,-0.917739
-20.839000,0.914308,-0.913640
-20.736000,0.910204,-0.909541
-20.634000,0.906101,-0.905442
-20.531000,0.901997,-0.901343
-20.428000,0.897894,-0.897244
-20.326000,0.893790,-0.893144
-20.223000,0.889687,-0.889045
-20.120000,0.885583,-0.884946
-20.018000,0.881480,-0.880847
-19.915000,0.877376,-0.876748
-19.812000,0.873273,-0.872649
-19.710000,0.869169,-0.868550
-19.607000,0.865066,-0.864451
-19.505000,0.860963,-0.860351
-19.402000,0.856859,-0.856252
-19.299000,0.852756,-0.852153
-19.197000,0.848652,-0.848054
-19.094000,0.844549,-0.843955
-18.991000,0.840445,-0.839856
-18.889000,0.836342,-0.835757
-18.786000,0.832238,-0.831658
-18.684000,0.828135,-0.827559
-18.581000,0.824031,-0.823459
-18.478000,0.819928,-0.819360
-18.376000,0.815824,-0.815261
-18.273000,0.811720,-0.811162
-18.170000,0.807617,-0.807062
-18.068000,0.803513,-0.802963
-17.965000,0.799409,-0.798864
-17.862000,0.795305,-0.794765
-17.760000,0.791201,-0.790665
-17.657000,0.787098,-0.786566
-17.555000,0.782994,-0.782467
-17.452000,0.778890,-0.778367
-17.349000,0.774786,-0.774268
-17.247000,0.770683,-0.770169
-17.144000,0.766579,-0.766069
-17.041000,0.762475,-0.761970
-16.939000,0.758371,-0.757871
-16.836000,0.754268,-0.753772
-16.733000,0.750164,-0.749672
-16.631000,0.746060,-0.745573
-16.528000,0.741956,-0.741474
-16.426000,0.737852,-0.737374
-16.323000,0.733749,-0.733275
-16.220000,0.729645,-0.729176
-16.118000,0.725541,-0.725077
-16.015000,0.721437,-0.720977
-15.912000,0.717334,-0.716878
-15.810000,0.713230,-0.712779
-15.707000,0.709126,-0.708679
-15.605000,0.705022,-0.704580
-15.502000,0.700918,-0.700480
-15.399000,0.696814,-0.696381
-15.297000,0.692710,-0.692282
-15.194000,0.688606,-0.688182
-15.091000,0.684502,-0.684083
-14.989000,0.680398,-0.679983
-14.886000,0.676294,-0.675884
