zone_id,alpha_nom_deg,beta_nom_deg,delta_alpha_deg,delta_beta_deg,n_reflections,info
58,-63.94500000000001,0.0,64.14726173572468,64.02963002742416,134,"{'status': 'ok', 'success': True, 'cost': 0.10062159818212171, 'nfev': 7}"
59,-63.842000000000006,0.0,63.917547595935815,63.95048220847931,131,"{'status': 'ok', 'success': True, 'cost': 0.10280989679364155, 'nfev': 7}"
60,-63.739,0.0,63.777514073552524,63.629852774328526,134,"{'status': 'ok', 'success': True, 'cost': 0.10124133032463009, 'nfev': 7}"
61,-63.63700000000001,0.0,63.63022374278165,63.48647882253994,134,"{'status': 'ok', 'success': True, 'cost': 0.10459133871801518, 'nfev': 7}"
62,-63.53399999999999,0.0,63.522570232590034,63.318524303863306,133,"{'status': 'ok', 'success': True, 'cost': 0.10334698923111002, 'nfev': 7}"
63,-63.431,0.0,63.40165920896179,63.29751543860072,130,"{'status': 'ok', 'success': True, 'cost': 0.09840577277282203, 'nfev': 7}"
64,-63.32900000000001,0.0,63.26188912218196,63.192687804726916,128,"{'status': 'ok', 'success': True, 'cost': 0.09807659508200126, 'nfev': 7}"
65,-63.226,0.0,63.09146297943539,63.13871809520138,130,"{'status': 'ok', 'success': True, 'cost': 0.09880112096346838, 'nfev': 7}"
66,-63.12400000000001,0.0,63.06988462144334,63.16125440594234,135,"{'status': 'ok', 'success': True, 'cost': 0.10318367595499428, 'nfev': 7}"
67,-63.020999999999994,0.0,62.96129359949614,63.13788815111636,138,"{'status': 'ok', 'success': True, 'cost': 0.10403547117033736, 'nfev': 7}"
68,-62.918,0.0,62.97898314790476,62.964952177640356,140,"{'status': 'ok', 'success': True, 'cost': 0.10448938919022643, 'nfev': 7}"
69,-62.81600000000001,0.0,62.82190172410503,62.9160285299121,135,"{'status': 'ok', 'success': True, 'cost': 0.09828441577073461, 'nfev': 7}"
70,-62.712999999999994,0.0,62.79413348937914,62.73466933496748,134,"{'status': 'ok', 'success': True, 'cost': 0.09692323765115436, 'nfev': 7}"
71,-62.61,0.0,62.729577253542125,62.56860135116618,136,"{'status': 'ok', 'success': True, 'cost': 0.10053982370057811, 'nfev': 7}"
72,-62.50800000000001,0.0,62.52827497517468,62.364498812403156,135,"{'status': 'ok', 'success': True, 'cost': 0.10231656860262903, 'nfev': 7}"
73,-62.405,0.0,62.507162820274395,62.27949623183336,132,"{'status': 'ok', 'success': True, 'cost': 0.09949441643324855, 'nfev': 7}"
