alpha_center_deg,delta_alpha_deg,beta_deg,z0x,z0y,z0z,x0x,x0y,x0z,smin,n_rows
-51.2695,-51.2695,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.16700000000001,-51.16700000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.0645,-51.0645,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.9615,-50.9615,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.858999999999995,-50.858999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.7565,-50.7565,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.6535,-50.6535,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.550999999999995,-50.550999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.4485,-50.4485,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.3455,-50.3455,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.242999999999995,-50.242999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.1405,-50.1405,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-50.038,-50.038,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.935500000000005,-49.935500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.8325,-49.8325,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.73,-49.73,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.627500000000005,-49.627500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.524499999999996,-49.524499999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.422,-49.422,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.319500000000005,-49.319500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.217,-49.217,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.1145,-49.1145,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-49.0115,-49.0115,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.909,-48.909,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.8065,-48.8065,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.703500000000005,-48.703500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.601,-48.601,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.49849999999999,-48.49849999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.395500000000006,-48.395500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.293000000000006,-48.293000000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.1905,-48.1905,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-48.088,-48.088,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.985499999999995,-47.985499999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.8825,-47.8825,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.78000000000001,-47.78000000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.6775,-47.6775,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.5745,-47.5745,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.47200000000001,-47.47200000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.3695,-47.3695,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.2665,-47.2665,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.164,-47.164,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-47.0615,-47.0615,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.959,-46.959,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.856500000000004,-46.856500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.7535,-46.7535,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.650999999999996,-46.650999999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.548500000000004,-46.548500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.4455,-46.4455,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.342999999999996,-46.342999999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.240500000000004,-46.240500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.138,-46.138,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-46.035500000000006,-46.035500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.932500000000005,-45.932500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
